Parameter,Active,FileName,NickName,Start,Stop,Center,Span,RBW,VBW,RefLevel,Attenuation,MaxHold,HighSens,PreAmp,Trace1Mode,Trace2Mode,Trace3Mode,Trace4Mode
PRESET_001,True,14MON.STA,470-530    14 MON,470,530,500,60,30000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_002,True,24MON.STA,530-590     24MON,530,590,560,60,30000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_003,True,34MON.STA,590 - 650      34MON,590,650,620,60,30000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_004,True,44MON.STA,650 - 710      44MON,650,710,680,60,30000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_005,True,470608MON.STA,470-608 MON,470,608,539,138,30000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_006,True,44.STA,650-710,650,710,680,60,300000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_007,True,02.STA,54-88 MHz,54,88,71,34,300000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_008,True,450-470LMR.STA,450-470 LMR,450,470,460,20,1000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_009,True,34.STA,34,590,650,620,60,300000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_010,True,14.STA,14,470,530,500,60,300000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_011,True,07.STA,7,174,218,196,44,300000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_012,True,DECT_NA.STA,DECT NA,1920,1930,1925,10,100000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_013,True,DECT_EU.STA,DECT EU,1880,1900,1890,20,300000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_014,True,22GHZCAMS.STA,22GHZCAMS,2200,2300,2250,100,1000000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_015,True,2GHZCAMS.STA,Wireless cameras,2050,2300,2175,250,1000000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
PRESET_016,True,3GHZCAMS.STA,3GHZCAMS,3150,3300,3225,150,1000000,,-50,20,,,1,WRITE,MAXhold,MINhold,BLANK
